city,date_local,target,snapshot_start,snapshot_end,prompt_text,web_mode
Lyon,2025-12-18,TMAX,2025-12-11,2025-12-17,,
Lyon,2025-12-18,RAIN,2025-12-11,2025-12-17,,
Lyon,2025-12-19,TMAX,2025-12-12,2025-12-18,,
Lyon,2025-12-19,RAIN,2025-12-12,2025-12-18,,
Lyon,2025-12-20,TMAX,2025-12-13,2025-12-19,,
Lyon,2025-12-20,RAIN,2025-12-13,2025-12-19,,
Lyon,2025-12-21,TMAX,2025-12-14,2025-12-20,,
Lyon,2025-12-21,RAIN,2025-12-14,2025-12-20,,
Lyon,2025-12-22,TMAX,2025-12-15,2025-12-21,,
Lyon,2025-12-22,RAIN,2025-12-15,2025-12-21,,
Lyon,2025-12-23,TMAX,2025-12-16,2025-12-22,,
Lyon,2025-12-23,RAIN,2025-12-16,2025-12-22,,
Lyon,2025-12-24,TMAX,2025-12-17,2025-12-23,,
Lyon,2025-12-24,RAIN,2025-12-17,2025-12-23,,
Paris,2025-12-18,TMAX,2025-12-11,2025-12-17,,
Paris,2025-12-18,RAIN,2025-12-11,2025-12-17,,
Paris,2025-12-19,TMAX,2025-12-12,2025-12-18,,
Paris,2025-12-19,RAIN,2025-12-12,2025-12-18,,
Paris,2025-12-20,TMAX,2025-12-13,2025-12-19,,
Paris,2025-12-20,RAIN,2025-12-13,2025-12-19,,
Paris,2025-12-21,TMAX,2025-12-14,2025-12-20,,
Paris,2025-12-21,RAIN,2025-12-14,2025-12-20,,
Paris,2025-12-22,TMAX,2025-12-15,2025-12-21,,
Paris,2025-12-22,RAIN,2025-12-15,2025-12-21,,
Paris,2025-12-23,TMAX,2025-12-16,2025-12-22,,
Paris,2025-12-23,RAIN,2025-12-16,2025-12-22,,
Paris,2025-12-24,TMAX,2025-12-17,2025-12-23,,
Paris,2025-12-24,RAIN,2025-12-17,2025-12-23,,
London,2025-12-18,TMAX,2025-12-11,2025-12-17,,
London,2025-12-18,RAIN,2025-12-11,2025-12-17,,
London,2025-12-19,TMAX,2025-12-12,2025-12-18,,
London,2025-12-19,RAIN,2025-12-12,2025-12-18,,
London,2025-12-20,TMAX,2025-12-13,2025-12-19,,
London,2025-12-20,RAIN,2025-12-13,2025-12-19,,
London,2025-12-21,TMAX,2025-12-14,2025-12-20,,
London,2025-12-21,RAIN,2025-12-14,2025-12-20,,
London,2025-12-22,TMAX,2025-12-15,2025-12-21,,
London,2025-12-22,RAIN,2025-12-15,2025-12-21,,
London,2025-12-23,TMAX,2025-12-16,2025-12-22,,
London,2025-12-23,RAIN,2025-12-16,2025-12-22,,
London,2025-12-24,TMAX,2025-12-17,2025-12-23,,
London,2025-12-24,RAIN,2025-12-17,2025-12-23,,
New York,2025-12-18,TMAX,2025-12-11,2025-12-17,,
New York,2025-12-18,RAIN,2025-12-11,2025-12-17,,
New York,2025-12-19,TMAX,2025-12-12,2025-12-18,,
New York,2025-12-19,RAIN,2025-12-12,2025-12-18,,
New York,2025-12-20,TMAX,2025-12-13,2025-12-19,,
New York,2025-12-20,RAIN,2025-12-13,2025-12-19,,
New York,2025-12-21,TMAX,2025-12-14,2025-12-20,,
New York,2025-12-21,RAIN,2025-12-14,2025-12-20,,
New York,2025-12-22,TMAX,2025-12-15,2025-12-21,,
New York,2025-12-22,RAIN,2025-12-15,2025-12-21,,
New York,2025-12-23,TMAX,2025-12-16,2025-12-22,,
New York,2025-12-23,RAIN,2025-12-16,2025-12-22,,
New York,2025-12-24,TMAX,2025-12-17,2025-12-23,,
New York,2025-12-24,RAIN,2025-12-17,2025-12-23,,
Sao Paulo,2025-12-18,TMAX,2025-12-11,2025-12-17,,
Sao Paulo,2025-12-18,RAIN,2025-12-11,2025-12-17,,
Sao Paulo,2025-12-19,TMAX,2025-12-12,2025-12-18,,
Sao Paulo,2025-12-19,RAIN,2025-12-12,2025-12-18,,
Sao Paulo,2025-12-20,TMAX,2025-12-13,2025-12-19,,
Sao Paulo,2025-12-20,RAIN,2025-12-13,2025-12-19,,
Sao Paulo,2025-12-21,TMAX,2025-12-14,2025-12-20,,
Sao Paulo,2025-12-21,RAIN,2025-12-14,2025-12-20,,
Sao Paulo,2025-12-22,TMAX,2025-12-15,2025-12-21,,
Sao Paulo,2025-12-22,RAIN,2025-12-15,2025-12-21,,
Sao Paulo,2025-12-23,TMAX,2025-12-16,2025-12-22,,
Sao Paulo,2025-12-23,RAIN,2025-12-16,2025-12-22,,
Sao Paulo,2025-12-24,TMAX,2025-12-17,2025-12-23,,
Sao Paulo,2025-12-24,RAIN,2025-12-17,2025-12-23,,
